"DS_SIT_ALU","aluno","DT_SIT_ALU","CD_ANO_INGRESSO","CD_SEM_INGRESSO","CD_ANO_ENS_MEDIO","CD_SEXO","DS_BAIRRO","DS_CIDADE","DS_ESTADO","DEFICIENCIA","COR_RACA","num_idade","BOLSAS_COTA_PRIORIDADE","N_COLOCA","N_TOTESC","N_NOTRED"
ABANDONO,43,2023-11-27 16:45:00.000,"2022","1","2020","1",JANGURUSSU                    ,FORTALEZA                     ,CE,"0",1,21,99,2,,
CURSANDO,44,2022-08-01 00:00:00.000,"2022","2","2021","2",SAPIRANGA                     ,FORTALEZA                     ,CE,"0",2,19,2,1,76.0,59.6201
CURSANDO,45,2022-08-01 00:00:00.000,"2022","2","2021","2",JOQUEI CLUBE                  ,FORTALEZA                     ,CE,"0",3,19,2,1,74.0,66.4977
CURSANDO,46,2022-08-01 00:00:00.000,"2022","2","2021","1",PRESIDENTE KENNEDY            ,FORTALEZA                     ,CE,"0",1,20,3,1,96.0,56.4106
ABANDONO,47,2023-11-27 16:45:00.000,"2022","2","2010","1",RODOLFO TEOFILO               ,FORTALEZA                     ,CE,"10",0,30,1,1,64.0,34.4024
CURSANDO,48,2022-08-01 00:00:00.000,"2022","2","2021","1",PARQUE SANTA FE               ,MARANGUAPE                    ,CE,"0",1,19,3,2,94.0,44.4895
CURSANDO,49,2022-08-01 00:00:00.000,"2022","2","2021","1",DENDE                         ,FORTALEZA                     ,CE,"0",3,19,2,2,78.0,63.7467
CURSANDO,50,2022-08-01 00:00:00.000,"2022","2","2016","2",PLANALTO AYRTON SENNA         ,FORTALEZA                     ,CE,"0",3,25,2,3,64.0,56.4106
DESISTENTE,51,2022-08-16 00:00:00.000,"2022","2","2021","1",ITAPERI                       ,FORTALEZA                     ,CE,"0",1,19,3,3,100.0,29.8174
CURSANDO,52,2022-08-01 00:00:00.000,"2022","2","2021","1",parque Guadalajara            ,Caucaia                       ,CE,"0",1,19,3,4,86.0,57.3276
CURSANDO,53,2022-08-01 00:00:00.000,"2022","2","2021","1",CAFUTE                        ,IPU                           ,CE,"0",3,20,2,4,68.0,40.8215
ABANDONO,54,2023-11-27 16:45:00.000,"2022","2","2018","2",PANAMERICANO                  ,FORTALEZA                     ,CE,"0",1,23,3,5,92.0,63.2882
CURSANDO,55,2022-08-01 00:00:00.000,"2022","2","2020","1",MONTESE                       ,FORTALEZA                     ,CE,"0",1,20,3,6,76.0,66.0392
CURSANDO,56,2022-08-01 00:00:00.000,"2022","2","2020","2",ZONA RURAL                    ,GUARACIABA DO NORTE           ,CE,"0",1,21,3,7,80.0,49.533
DESISTENTE,57,2023-01-05 00:00:00.000,"2022","2","2017","1",MONDUBIM                      ,FORTALEZA                     ,CE,"0",1,23,99,7,126.0,60.5371
ABANDONO,58,2023-11-27 16:45:00.000,"2022","2","2022","1",CIDADE DOS FUNCIONARIOS       ,FORTALEZA                     ,CE,"0",0,17,99,25,128.0,60.5371
